Compound,Synonyme,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles,Vector Fingerprint,Binding
EFLETIRIZINE,EFLETIRIZINE,1,390.43,7,3,7,202.31999999999996,-0.77,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,1 0 1 1 1 1 1 1 0 1,1
LUMINESPIB MESYLATE,1051919-26-6|LUMINESPIB MESYLATE,1,579.67,1,2,2,42.24,-3.3,Cc1occc1C(=O)Nc2ccccc2,1 0 1 1 1 0 0 0 1 1,0
EFLUMAST,EFLUMAST,1,265.20,0,0,4,17.07,-2.06,CC(C)=CCCC(C)=CC(=O),1 1 1 0 0 1 0 0 1 0,1
QUIFLAPON,L-686708|MK-591|QUIFLAPON,2,587.19,0,5,0,0.0,-7.87,c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,1 1 0 0 1 1 1 1 0 1,0
EFETOZOLE,EFETOZOLE,2,186.26,0,1,0,0.0,-1.33,c1ccsc1,1 1 0 0 1 0 0 0 1 1,0
QUIFLAPON SODIUM,MK-591|QUIFLAPON SODIUM,2,609.17,0,2,0,12.89,-1.5,c2ccc1scnc1c2 ,1 1 1 1 1 1 1 1 0 1,1
ERTIPROTAFIB,ERTIPROTAFIB|PTP-112,1,559.53,0,2,1,0.0,-7.32,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,1 0 0 1 1 1 1 1 0 1,0
RALIMETINIB MESYLATE,LSN2322600|LY2228820 DIMESYLATE|RALIMETINIB MESYLATE,1,612.75,2,4,0,40.46,-5.03,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,1 1 1 0 0 0 0 1 1 0,0
DILMAPIMOD TOSYLATE,DILMAPIMOD TOSYLATE|SB-681323-T,1,628.63,0,0,6,42.24,-7.87,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,1 1 1 1 0 0 1 1 1 0,1
EFATUTAZONE HYDROCHLORIDE,CS-7017|Efatutazone hydrochloride|RS5444,3,575.52,0,0,5,17.07,-1.33,COc1cc(F)c(C(C)C)cc1C1=C(CN2C(=O)O[C@H](c3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@@H]2C)CC(C)(C)CC1,1 0 1 1 1 1 1 1 0 1,1
